"Date";"Close Price";"Signal"
"2017-03-14";3357.5;"Hold"
"2017-03-15";3399.25;"Hold"
"2017-03-16";3348.8;"Hold"
"2017-03-17";3345.25;"Hold"
"2017-03-20";3337.65;"Hold"
"2017-03-21";3342.8;"Hold"
"2017-03-22";3310.55;"Hold"
"2017-03-23";3366.55;"Hold"
"2017-03-24";3376.6;"Hold"
"2017-03-27";3340.25;"Hold"
"2017-03-28";3328.05;"Hold"
"2017-03-29";3223.25;"Hold"
"2017-03-30";3231.5;"Hold"
"2017-03-31";3223.85;"Hold"
"2017-04-03";3204.7;"Hold"
"2017-04-05";3196.35;"Hold"
"2017-04-06";3205.35;"Hold"
"2017-04-07";3216.6;"Hold"
"2017-04-10";3199.45;"Hold"
"2017-04-11";3201.35;"Hold"
"2017-04-12";3226.15;"Hold"
"2017-04-13";3224.9;"Hold"
"2017-04-17";3229.95;"Hold"
"2017-04-18";3223.95;"Hold"
"2017-04-19";3204.6;"Hold"
"2017-04-20";3201.25;"Hold"
"2017-04-21";3204.9;"Sell"
"2017-04-24";3204.55;"Hold"
"2017-04-25";3305.7;"Hold"
"2017-04-26";3309.7;"Hold"
"2017-04-27";3297.15;"Hold"
"2017-04-28";3310.7;"Hold"
"2017-05-02";3351.0;"Hold"
"2017-05-03";3368.15;"Hold"
"2017-05-04";3394.1;"Hold"
"2017-05-05";3362.6;"Buy"
"2017-05-08";3393.85;"Hold"
"2017-05-09";3289.8;"Hold"
"2017-05-10";3322.4;"Hold"
"2017-05-11";3463.8;"Hold"
"2017-05-12";3536.95;"Hold"
"2017-05-15";3517.3;"Hold"
"2017-05-16";3619.0;"Hold"
"2017-05-17";3642.75;"Hold"
"2017-05-18";3596.1;"Hold"
"2017-05-19";3572.95;"Hold"
"2017-05-22";3564.5;"Hold"
"2017-05-23";3585.45;"Hold"
"2017-05-24";3562.8;"Hold"
"2017-05-25";3615.75;"Hold"
"2017-05-26";3616.1;"Hold"
"2017-05-29";3667.5;"Hold"
"2017-05-30";3739.5;"Hold"
"2017-05-31";3742.8;"Hold"
"2017-06-01";3734.55;"Hold"
"2017-06-02";3841.75;"Hold"
"2017-06-05";3826.7;"Hold"
"2017-06-06";3815.8;"Hold"
"2017-06-07";3844.05;"Hold"
"2017-06-08";3784.55;"Hold"
"2017-06-09";3779.35;"Hold"
"2017-06-12";3774.65;"Hold"
"2017-06-13";3752.55;"Hold"
"2017-06-14";3786.65;"Hold"
"2017-06-15";3779.35;"Hold"
"2017-06-16";3778.4;"Hold"
"2017-06-19";3826.05;"Hold"
"2017-06-20";3801.2;"Hold"
"2017-06-21";3768.65;"Hold"
"2017-06-22";3733.15;"Hold"
"2017-06-23";3660.3;"Hold"
"2017-06-27";3695.95;"Hold"
"2017-06-28";3687.85;"Hold"
"2017-06-29";3719.15;"Hold"
"2017-06-30";3696.7;"Hold"
"2017-07-03";3777.0;"Hold"
"2017-07-04";3699.95;"Hold"
"2017-07-05";3707.05;"Hold"
"2017-07-06";3721.4;"Hold"
"2017-07-07";3682.5;"Hold"
"2017-07-10";3732.75;"Hold"
"2017-07-11";3750.1;"Hold"
"2017-07-12";3731.95;"Hold"
"2017-07-13";3749.7;"Hold"
"2017-07-14";3753.2;"Hold"
"2017-07-17";3763.75;"Hold"
"2017-07-18";3785.5;"Hold"
"2017-07-19";3766.2;"Hold"
"2017-07-20";3729.55;"Hold"
"2017-07-21";3679.65;"Hold"
"2017-07-24";3691.15;"Hold"
"2017-07-25";3706.85;"Hold"
"2017-07-26";3717.75;"Hold"
"2017-07-27";3707.45;"Sell"
"2017-07-28";3631.8;"Hold"
"2017-07-31";3654.1;"Hold"
"2017-08-01";3721.55;"Hold"
"2017-08-02";3800.35;"Hold"
"2017-08-03";3839.15;"Hold"
"2017-08-04";3958.65;"Buy"
"2017-08-07";3953.6;"Hold"
"2017-08-08";3912.7;"Hold"
"2017-08-09";3884.25;"Hold"
"2017-08-10";3886.9;"Hold"
"2017-08-11";3844.75;"Hold"
"2017-08-14";3954.15;"Hold"
"2017-08-16";4018.05;"Hold"
"2017-08-17";3996.85;"Hold"
"2017-08-18";3982.75;"Hold"
"2017-08-21";3967.6;"Hold"
"2017-08-22";3885.3;"Hold"
"2017-08-23";3890.15;"Hold"
"2017-08-24";3874.5;"Hold"
"2017-08-28";3960.05;"Hold"
"2017-08-29";3948.8;"Hold"
"2017-08-30";3987.15;"Hold"
"2017-08-31";3998.1;"Hold"
"2017-09-01";4047.3;"Hold"
"2017-09-04";3973.6;"Hold"
"2017-09-05";3970.6;"Hold"
"2017-09-06";3950.55;"Hold"
"2017-09-07";3982.9;"Hold"
"2017-09-08";3959.0;"Hold"
"2017-09-11";3945.85;"Hold"
"2017-09-12";3917.55;"Hold"
"2017-09-13";3895.5;"Hold"
"2017-09-14";3894.7;"Hold"
"2017-09-15";3891.25;"Hold"
"2017-09-18";3951.05;"Hold"
"2017-09-19";3948.6;"Hold"
"2017-09-20";3858.1;"Hold"
"2017-09-21";3888.85;"Hold"
"2017-09-22";3788.15;"Hold"
"2017-09-25";3755.65;"Hold"
"2017-09-26";3785.85;"Hold"
"2017-09-27";3732.4;"Hold"
"2017-09-28";3744.55;"Hold"
"2017-09-29";3781.2;"Hold"
"2017-10-03";3805.55;"Sell"
"2017-10-04";3794.0;"Hold"
"2017-10-05";3757.2;"Hold"
"2017-10-06";3703.7;"Hold"
"2017-10-09";3687.7;"Hold"
"2017-10-10";3692.4;"Hold"
"2017-10-11";3687.6;"Hold"
"2017-10-12";3742.3;"Hold"
"2017-10-13";3754.1;"Hold"
"2017-10-16";3773.75;"Hold"
"2017-10-17";3789.35;"Hold"
